"","Area","Title","Source","Collection","ID","A","B","C","C1","C2","D","E","F","G","H","H1","I","J","J1","J6","K1","K3","K7","L","M1","M3","M","N","MDS1","MDS2","MDS3"
"1","Eskimo","Smith Sound","JAFL, Vol. 12, 180","1897-98 in New York City",1,1,6,0,0,0,6,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.00426036150542041,0.463172831810425,-0.157416637868985
"2","Eskimo","Kodiak 1","Golder, JAFL, Vol. 16, 28, no. 5","Russian, Unga Island, Alaska, c. 1901.-Fragmentary",2,3,1,1,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229800304404274,0.169296743547568,-0.228927206011403
"3","Eskimo","Kodiak 2","Golder, J AFL, Vol. 16, 21, no. 3","Russian, Unga Island, Alaska, c. 1901.-Fragmentary",3,1,6,4,0,0,7,4,8,2,0,0,1,2,0,0,9,0,1,1,0,0,0,7,0.282780702445663,0.370235147251407,-0.197720729798599
"4","Mackenzie","Kaska","Teit, J AFL, Vol. 3D, 457, no. 13","1915, foot of Dease Lake",4,2,1,1,0,0,4,4,13,1,0,0,1,0,0,0,1,1,0,1,0,5,0,3,-0.171872580828349,0.105658332705554,0.142358316104172
"5","Mackenzie","Carrier","Jenness, JAFL, Vol. 57, 200","1924-25, Fort Fraser",5,2,6,1,0,0,8,0,0,1,0,0,3,2,0,0,3,3,0,1,0,0,0,3,-0.288866181106293,0.25168022946474,-0.33013367356241
"6","North Pacific","Tahltan","Teit, JAFL, Vol. 34, 247","1915, Telegraph Creek",6,2,1,1,0,0,4,4,10,1,0,0,1,0,0,0,3,0,0,1,0,0,8,3,-0.172121272607363,0.131253952673717,0.10743603562373
"7","North Pacific","Ts'ets'aut","Boas, JAFL, Vol. 10, 39, no. 12","winter 1894-95, Portland Inle",7,2,1,1,0,0,4,4,13,1,0,0,1,0,0,0,3,1,0,1,0,0,0,3,-0.171872580828349,0.105658332705554,0.142358316104172
"8","North Pacific","Bella Bella","Boas, MAFLS, Vol. 25, 107","1925 by George Hunt",8,2,1,1,0,0,4,3,0,2,0,0,3,4,0,0,2,0,0,1,0,0,0,2,-0.0858317026366257,-0.279680113170616,-0.109738464960857
"9","North Pacific","Chilcotin 1","Farrand, JE, Vol. 2, 31, no. 16","1897 .-Fragmentary",9,2,1,1,0,0,4,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,-0.179138337027568,0.00309276500042498,0.037326583939963
"10","North Pacific","Chilcotin 2","Farrand, JE, Vol. 2, 28, no. 12","1897.-Fragmentary",10,2,8,4,0,0,0,0,0,1,2,0,1,2,0,0,8,5,0,1,0,0,0,0,-0.0829860721055151,0.486731797912462,0.0490287120645208
"11","North Pacific","Songish","Boas, Indianisclte Sagen von der nordpacifischen Küste Amerikas, (Berlin, 1895), p. 62.","c. 1893",11,2,1,3,0,1,4,4,0,1,1,0,1,0,0,0,3,0,0,1,0,0,0,0,-0.119053077218902,0.0165348757567664,0.127210216433034
"12","North Pacific","Klallam","Gunther, UWash, Vol. 1, 135, no. 4","c. 1924, Port Angeles, Washington",12,2,1,0,0,0,0,4,0,1,0,0,1,0,0,0,4,0,0,1,0,0,1,0,-0.130647789938848,0.0780718313115286,0.0334187723984125
"13","North Pacific","Quileute 1","Farrand-Mayer, JAFL, Vol. 32, 264, no. 10","Collected 1898",13,2,1,1,0,0,4,4,4,1,0,0,0,0,0,0,1,0,0,1,2,0,0,4,-0.233583389296865,-0.0502772125363183,0.00124514497917671
"14","North Pacific","Quileute 2","Andrade, CU, Vol. 12, 71","n/a",14,2,1,3,0,1,4,4,0,1,0,0,0,1,1,0,3,0,0,1,2,0,0,4,-0.223670310080715,-0.0456254014301812,0.101795704269626
"15","North Pacific","Quinault","Farrand, JE, Vol. 2, 107, no. 5","1898",15,2,1,3,0,1,4,4,4,1,0,0,0,1,1,0,3,0,0,3,2,1,0,4,-0.218437640665219,-0.10787350824073,0.0596341559108481
"16","North Pacific","Chehalis 1","Adamson, MAFLS, Vol. 27, 95.","1926 -Fragme tary",16,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198067443157389,-0.0150675196993576,-0.0608164854364968
