Area,Title,Source,Collection,ID,A,B,C,C1,C2,D,E,F,G,H,H1,I,J,J1,J6,K1,K3,K7,L,M1,M3,M,N
Eskimo,Smith Sound,"JAFL, Vol. 12, 180",1897-98 in New York City,1,1,6,0,0,0,6,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Eskimo,Kodiak 1,"Golder, JAFL, Vol. 16, 28, no. 5","Russian, Unga Island, Alaska, c. 1901.-Fragmentary",2,3,1,1,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Eskimo,Kodiak 2,"Golder, J AFL, Vol. 16, 21, no. 3","Russian, Unga Island, Alaska, c. 1901.-Fragmentary",3,1,6,4,0,0,7,4,8,2,0,0,1,2,0,0,9,0,1,1,0,0,0,7
Mackenzie,Kaska,"Teit, J AFL, Vol. 3D, 457, no. 13","1915, foot of Dease Lake",4,2,1,1,0,0,4,4,13,1,0,0,1,0,0,0,1,1,0,1,0,5,0,3
Mackenzie,Carrier,"Jenness, JAFL, Vol. 57, 200","1924-25, Fort Fraser",5,2,6,1,0,0,8,0,0,1,0,0,3,2,0,0,3,3,0,1,0,0,0,3
North Pacific,Tahltan,"Teit, JAFL, Vol. 34, 247","1915, Telegraph Creek",6,2,1,1,0,0,4,4,10,1,0,0,1,0,0,0,3,0,0,1,0,0,8,3
North Pacific,Ts'ets'aut,"Boas, JAFL, Vol. 10, 39, no. 12","winter 1894-95, Portland Inle",7,2,1,1,0,0,4,4,13,1,0,0,1,0,0,0,3,1,0,1,0,0,0,3
North Pacific,Bella Bella,"Boas, MAFLS, Vol. 25, 107",1925 by George Hunt,8,2,1,1,0,0,4,3,0,2,0,0,3,4,0,0,2,0,0,1,0,0,0,2
North Pacific,Chilcotin 1,"Farrand, JE, Vol. 2, 31, no. 16",1897 .-Fragmentary,9,2,1,1,0,0,4,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0
North Pacific,Chilcotin 2,"Farrand, JE, Vol. 2, 28, no. 12",1897.-Fragmentary,10,2,8,4,0,0,0,0,0,1,2,0,1,2,0,0,8,5,0,1,0,0,0,0
North Pacific,Songish,"Boas, Indianisclte Sagen von der nordpacifischen Küste Amerikas, (Berlin, 1895), p. 62.",c. 1893,11,2,1,3,0,1,4,4,0,1,1,0,1,0,0,0,3,0,0,1,0,0,0,0
North Pacific,Klallam,"Gunther, UWash, Vol. 1, 135, no. 4","c. 1924, Port Angeles, Washington",12,2,1,0,0,0,0,4,0,1,0,0,1,0,0,0,4,0,0,1,0,0,1,0
North Pacific,Quileute 1,"Farrand-Mayer, JAFL, Vol. 32, 264, no. 10",Collected 1898,13,2,1,1,0,0,4,4,4,1,0,0,0,0,0,0,1,0,0,1,2,0,0,4
North Pacific,Quileute 2,"Andrade, CU, Vol. 12, 71",n/a,14,2,1,3,0,1,4,4,0,1,0,0,0,1,1,0,3,0,0,1,2,0,0,4
North Pacific,Quinault,"Farrand, JE, Vol. 2, 107, no. 5",1898,15,2,1,3,0,1,4,4,4,1,0,0,0,1,1,0,3,0,0,3,2,1,0,4
North Pacific,Chehalis 1,"Adamson, MAFLS, Vol. 27, 95.",1926 -Fragme tary,16,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Pacific,Chehalis 2,"Adamson, MAFLS, Vol. 27, 95",1927,17,2,1,1,0,0,4,4,4,1,0,0,0,1,0,0,3,4,0,1,0,0,0,0
North Pacific,Snuqualmi 1,"Haeberlin, JAFL, Vol. 37, 373, no. 2",c. 1920,18,2,1,2,0,1,4,4,11,2,1,0,4,0,0,0,4,0,0,1,0,1,1,2
North Pacific,Snuqualmi 2,"Haeherlin, JAFL, Vol. 37, 375, no. 2a","Copied by the author from Tacoma Evenillg News, no date",19,2,1,2,0,1,4,4,6,2,1,0,4,2,0,0,4,0,0,1,1,1,1,2
North Pacific,Snuqualmi 3,"Ballard, UWash, Vol. 3, 69.","1916 from SnuQualmi Charlie (born c. 1850), Tolt, Washington",20,2,1,2,0,1,4,4,11,2,1,0,4,0,0,0,4,0,0,1,1,0,0,2
North Pacific,Puyallup 1,"Curtis, The North American Indian, Vol. 9, 117",1905,21,2,0,0,0,0,0,4,4,2,1,0,1,0,0,0,3,5,0,1,0,4,0,2
North Pacific,Puyallup 2,"Adamson, MAFLS, Vol. 27, 356",1926,22,5,1,3,0,1,4,4,4,1,0,0,4,0,0,0,3,5,0,1,0,0,0,0
North Pacific,Cowlitz,"Adamson, MAFLS, Vol. 27, 269",c. 1926,23,2,1,3,0,1,4,4,4,2,1,0,4,0,0,0,3,6,0,1,0,0,0,2
