"","Area","Title","Source","Collection","ID","A","B","C","C1","C2","D","E","F","G","H","H1","I","J","J1","J6","K1","K3","K7","L","M1","M3","M","N","MDS1","MDS2","MDS3"
"1","Eskimo","Smith Sound","JAFL, Vol. 12, 180","1897-98 in New York City",1,1,6,0,0,0,6,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.103958877700738,0.591874239478264,-0.150105462361375
"2","Eskimo","Kodiak 1","Golder, JAFL, Vol. 16, 28, no. 5","Russian, Unga Island, Alaska, c. 1901.-Fragmentary",2,3,1,1,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270601509804955,0.271955668098113,-0.0590830184772381
"3","Eskimo","Kodiak 2","Golder, J AFL, Vol. 16, 21, no. 3","Russian, Unga Island, Alaska, c. 1901.-Fragmentary",3,1,6,4,0,0,7,4,8,2,0,0,1,2,0,0,9,0,1,1,0,0,0,7,-0.330409172437848,0.435405889953059,-0.275512270621129
"4","Mackenzie","Kaska","Teit, J AFL, Vol. 3D, 457, no. 13","1915, foot of Dease Lake",4,2,1,1,0,0,4,4,13,1,0,0,1,0,0,0,1,1,0,1,0,5,0,3,0.21370017159231,0.033840147108066,0.183396530137648
"5","Mackenzie","Carrier","Jenness, JAFL, Vol. 57, 200","1924-25, Fort Fraser",5,2,6,1,0,0,8,0,0,1,0,0,3,2,0,0,3,3,0,1,0,0,0,3,0.170528747799093,0.486751619360427,-0.376512808966722
"6","North Pacific","Tahltan","Teit, JAFL, Vol. 34, 247","1915, Telegraph Creek",6,2,1,1,0,0,4,4,10,1,0,0,1,0,0,0,3,0,0,1,0,0,8,3,0.212398885191269,0.0754955181673419,0.168147036664732
"7","North Pacific","Ts'ets'aut","Boas, JAFL, Vol. 10, 39, no. 12","winter 1894-95, Portland Inle",7,2,1,1,0,0,4,4,13,1,0,0,1,0,0,0,3,1,0,1,0,0,0,3,0.21370017159231,0.033840147108066,0.183396530137648
"8","North Pacific","Bella Bella","Boas, MAFLS, Vol. 25, 107","1925 by George Hunt",8,2,1,1,0,0,4,3,0,2,0,0,3,4,0,0,2,0,0,1,0,0,0,2,0.150537435087828,-0.256271768627154,-0.16145300303211
"9","North Pacific","Chilcotin 1","Farrand, JE, Vol. 2, 31, no. 16","1897 .-Fragmentary",9,2,1,1,0,0,4,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0.215159915127863,-0.00458877250660794,0.0297861459636441
"10","North Pacific","Chilcotin 2","Farrand, JE, Vol. 2, 28, no. 12","1897.-Fragmentary",10,2,8,4,0,0,0,0,0,1,2,0,1,2,0,0,8,5,0,1,0,0,0,0,-0.0297980128026252,0.582217286052387,0.292158375870827
"11","North Pacific","Songish","Boas, Indianisclte Sagen von der nordpacifischen Küste Amerikas, (Berlin, 1895), p. 62.","c. 1893",11,2,1,3,0,1,4,4,0,1,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0.156406425438766,-0.0209111502494038,0.119285555732598
"12","North Pacific","Klallam","Gunther, UWash, Vol. 1, 135, no. 4","c. 1924, Port Angeles, Washington",12,2,1,0,0,0,0,4,0,1,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0.192471900738147,0.0482015152006803,0.0858486961679485
"13","North Pacific","Quileute 1","Farrand-Mayer, JAFL, Vol. 32, 264, no. 10","Collected 1898",13,2,1,1,0,0,4,4,4,1,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0.266949049485745,-0.0376653443814918,-0.0271141791104417
"14","North Pacific","Quileute 2","Andrade, CU, Vol. 12, 71","n/a",14,2,1,3,0,1,4,4,0,1,0,0,0,1,1,0,3,0,0,1,2,0,0,4,0.271631143667017,-0.0635573687234375,0.0768514459170912
"15","North Pacific","Quinault","Farrand, JE, Vol. 2, 107, no. 5","1898",15,2,1,3,0,1,4,4,4,1,0,0,0,1,1,0,3,0,0,3,2,1,0,4,0.26275809550234,-0.111459068004961,-0.0135883979736834
"16","North Pacific","Chehalis 1","Adamson, MAFLS, Vol. 27, 95.","1926 -Fragme tary",16,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249844325887677,-0.0121085503851386,-0.0551484765629049
"17","North Pacific","Chehalis 2","Adamson, MAFLS, Vol. 27, 95","1927",17,2,1,1,0,0,4,4,4,1,0,0,0,1,0,0,3,4,0,1,0,0,0,0,0.266949049485746,-0.0376653443814917,-0.0271141791104418
"18","North Pacific","Snuqualmi 1","Haeberlin, JAFL, Vol. 37, 373, no. 2","c. 1920",18,2,1,2,0,1,4,4,11,2,1,0,4,0,0,0,4,0,0,1,0,1,1,2,-0.00723045456332783,-0.257547030411822,0.089335150019645
"19","North Pacific","Snuqualmi 2","Haeherlin, JAFL, Vol. 37, 375, no. 2a","Copied by the author from Tacoma Evenillg News, no date",19,2,1,2,0,1,4,4,6,2,1,0,4,2,0,0,4,0,0,1,1,1,1,2,-0.0233203198507318,-0.257070368332935,0.197982591623288
"20","North Pacific","Snuqualmi 3","Ballard, UWash, Vol. 3, 69.","1916 from SnuQualmi Charlie (born c. 1850), Tolt, Washington",20,2,1,2,0,1,4,4,11,2,1,0,4,0,0,0,4,0,0,1,1,0,0,2,-0.00723045456332774,-0.257547030411822,0.089335150019645
"21","North Pacific","Puyallup 1","Curtis, The North American Indian, Vol. 9, 117","1905",21,2,0,0,0,0,0,4,4,2,1,0,1,0,0,0,3,5,0,1,0,4,0,2,-0.148041689167645,-0.0351841870130788,-0.00422924999548218
"22","North Pacific","Puyallup 2","Adamson, MAFLS, Vol. 27, 356","1926",22,5,1,3,0,1,4,4,4,1,0,0,4,0,0,0,3,5,0,1,0,0,0,0,0.305237458797627,-0.158797806819431,0.166944062210314
"23","North Pacific","Cowlitz","Adamson, MAFLS, Vol. 27, 269","c. 1926",23,2,1,3,0,1,4,4,4,2,1,0,4,0,0,0,3,6,0,1,0,0,0,2,0.0336456382455986,-0.210233447055426,0.029188939125248
"24","North Pacific","Coos 1","Frachtenberg, CU, Vol. I, 51","before 1913, from Jim Buchanan (d. 1939) .-Fragmentary",24,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249844325887677,-0.0121085503851386,-0.0551484765629049
